ID_Profesor;FacultyQualificationSA_PA_SP_IP;UnidadAcademica;Sexo;Nacionalidad
1;SP;PROFESOR INTERNO;MASCULINO;CHILENA
2;IP;PROFESOR INTERNO;MASCULINO;CHILENA
3;IP;PROFESOR INTERNO;FEMENINO;CHILENA
4;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
5;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
6;SA;PROFESOR INTERNO;MASCULINO;CHILENA
7;SA;PROFESOR INTERNO;FEMENINO;CHILENA
8;IP;PROFESOR INTERNO;MASCULINO;CHILENA
9;SA;PROFESOR INTERNO;MASCULINO;CHILENA
10;IP;PROFESOR INTERNO;MASCULINO;CHILENA
11;PA;PROFESOR INTERNO;MASCULINO;CHILENA
12;SA;PROFESOR INTERNO;MASCULINO;CHILENA
13;SA;PROFESOR INTERNO;MASCULINO;BOLIVIANA
14;SA;PROFESOR INTERNO;FEMENINO;CHILENA
15;IP;PROFESOR INTERNO;MASCULINO;CHILENA
16;SA;PROFESOR INTERNO;MASCULINO;AUSTRALIANA
17;PA;PROFESOR INTERNO;MASCULINO;CHILENA
18;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
19;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
20;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
21;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
22;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
23;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
24;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
25;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
26;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
27;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
28;SA;PROFESOR INTERNO;MASCULINO;CHILENA
29;SA;PROFESOR INTERNO;MASCULINO;CHILENA
30;IP;PROFESOR INTERNO;FEMENINO;CHILENA
31;IP;PROFESOR INTERNO;MASCULINO;CHILENA
32;SA;PROFESOR INTERNO;MASCULINO;CHILENA
33;SA;PROFESOR INTERNO;MASCULINO;CHILENA
34;PA;PROFESOR INTERNO;MASCULINO;CHILENA
35;IP;PROFESOR INTERNO;MASCULINO;CHILENA
36;PA;PROFESOR INTERNO;MASCULINO;CHILENA
37;IP;PROFESOR INTERNO;MASCULINO;CHILENA
38;IP;PROFESOR INTERNO;MASCULINO;CHILENA
39;SA;PROFESOR INTERNO;MASCULINO;CHILENA
40;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
41;O;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
42;IP;PROFESOR INTERNO;MASCULINO;CHILENA
43;SA;PROFESOR INTERNO;MASCULINO;CHILENA
44;IP;PROFESOR INTERNO;MASCULINO;CHILENA
45;SA;PROFESOR INTERNO;MASCULINO;DESCONOCIDA
46;PA;PROFESOR INTERNO;MASCULINO;CHILENA
47;IP;PROFESOR INTERNO;FEMENINO;CHILENA
48;O;PROFESOR INTERNO;MASCULINO;CHILENA
49;IP;PROFESOR INTERNO;FEMENINO;CHILENA
50;IP;PROFESOR INTERNO;FEMENINO;ALEMANA
51;SA;PROFESOR INTERNO;MASCULINO;CHILENA
52;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
53;O;PROFESOR INTERNO;FEMENINO;CHILENA
54;PA;PROFESOR INTERNO;MASCULINO;CHILENA
55;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
56;IP;PROFESOR INTERNO;MASCULINO;CHILENA
57;SA;PROFESOR INTERNO;MASCULINO;CHILENA
58;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
59;O;PROFESOR INTERNO;MASCULINO;BRASILEÃ‘A
60;PA;PROFESOR INTERNO;FEMENINO;CHILENA
61;IP;PROFESOR INTERNO;MASCULINO;CHILENA
62;IP;PROFESOR INTERNO;MASCULINO;CHILENA
63;SA;PROFESOR INTERNO;MASCULINO;CHILENA
64;IP;PROFESOR INTERNO;MASCULINO;CHILENA
65;IP;PROFESOR INTERNO;MASCULINO;CHILENA
66;SA;PROFESOR INTERNO;MASCULINO;FRANCESA
67;PA;PROFESOR INTERNO;MASCULINO;CHILENA
68;IP;PROFESOR INTERNO;MASCULINO;CHILENA
69;SA;PROFESOR INTERNO;FEMENINO;CHILENA
70;SA;PROFESOR INTERNO;MASCULINO;CHILENA
71;IP;PROFESOR INTERNO;FEMENINO;CHILENA
72;IP;PROFESOR INTERNO;MASCULINO;CHILENA
73;IP;PROFESOR INTERNO;MASCULINO;CHILENA
74;IP;PROFESOR INTERNO;MASCULINO;CHILENA
75;SA;PROFESOR INTERNO;MASCULINO;CHILENA
76;SA;PROFESOR INTERNO;MASCULINO;CHILENA
77;SA;PROFESOR INTERNO;MASCULINO;CHILENA
78;SA;PROFESOR INTERNO;MASCULINO;CHILENA
79;SA;PROFESOR INTERNO;MASCULINO;CHILENA
80;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
81;IP;PROFESOR INTERNO;MASCULINO;CHILENA
82;SP;PROFESOR INTERNO;MASCULINO;CHILENA
83;IP;PROFESOR INTERNO;MASCULINO;CHILENA
84;SA;PROFESOR INTERNO;MASCULINO;CHILENA
85;SA;PROFESOR INTERNO;FEMENINO;CHILENA
86;SA;PROFESOR INTERNO;MASCULINO;CHILENA
87;SA;PROFESOR INTERNO;MASCULINO;CHILENA
88;SA;PROFESOR INTERNO;MASCULINO;CHILENA
89;SA;PROFESOR INTERNO;FEMENINO;URUGUAYA
90;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
91;SA;PROFESOR INTERNO;MASCULINO;CHILENA
92;O;PROFESOR INTERNO;MASCULINO;CHILENA
