SI FULL,sobre_60,sobre_90,seleable
13499,"0,1739","0,0392","0,902"
13287,"0,1779","0,0412","0,8949"
17864,"0,1907","0,0448","0,9326"
17477,"0,1839","0,0445","0,9332"
18763,"0,1779","0,0461","0,9378"
16811,"0,1721","0,0455","0,9417"
12513,"0,1715","0,0458","0,9386"
12715,"0,1744","0,0461","0,9319"
14251,"0,1874","0,0467","0,9208"
17260,"0,1905","0,0483","0,9359"
16986,"0,1922","0,0489","0,9361"
17960,"0,1912","0,0545","0,9399"
16247,"0,1805","0,0553","0,928"
13216,"0,1818","0,0568","0,9262"
12181,"0,1853","0,0578","0,9217"
12940,"0,193","0,0589","0,9137"
16559,"0,1958","0,057","0,9257"
16785,"0,1944","0,0587","0,9267"
16361,"0,1968","0,0653","0,9601"
16823,"0,1813","0,0613","0,9298"
13527,"0,1775","0,0638","0,9278"
12329,"0,1811","0,0663","0,9245"
12784,"0,1904","0,0678","0,9182"
16585,"0,1915","0,0706","0,9286"
16594,"0,1874","0,0747","0,9264"
16562,"0,1913","0,0807","0,9324"
17001,"0,1851","0,0826","0,9383"
12896,"0,1834","0,086","0,9372"
13935,"0,1871","0,0905","0,9272"
15781,"0,196","0,094","0,9126"
20321,"0,1988","0,0902","0,929"
19857,"0,1883","0,0836","0,9326"
18799,"0,1811","0,0845","0,9442"
18415,"0,1732","0,0815","0,947"
14750,"0,1732","0,0815","0,9638"
14881,"0,1756","0,0828","0,9488"
16226,"0,1777","0,0832","0,9165"
20368,"0,1807","0,0871","0,9136"
17491,"0,1865","0,0909","0,9711"
17959,"0,1882","0,0936","1,0226"
18234,"0,1932","0,0991","1,0982"
12695,"0,1344","0,0701","0,781"
11850,"0,1356","0,071","0,79"
13165,"0,139","0,0723","0,7629"
17810,"0,139","0,0709","0,7822"
16494,"0,1396","0,0699","0,794"
15627,"0,135","0,0702","0,7918"
15961,"0,1359","0,0719","0,9348"
11500,"0,1306","0,0739","0,9313"
10700,"0,1316","0,0738","0,9202"
12289,"0,135","0,0745","0,9141"
16442,"0,1323","0,0746","0,9172"
16796,"0,1282","0,0749","0,9225"
17680,"0,1232","0,0725","0,9209"
16973,"0,1206","0,0748","0,9229"
11734,"0,1206","0,0799","0,9284"
12380,"0,121","0,0797","0,9208"
14024,"0,125","0,0806","0,913"
17172,"0,1319","0,0813","0,9192"
18981,"0,1301","0,0828","0,9275"
18223,"0,1216","0,0808","0,9235"
17775,"0,1159","0,0776","0,9281"
11351,"0,1157","0,0778","0,9301"
12371,"0,1191","0,079","0,9238"
14029,"0,1253","0,0794","0,9131"
17576,"0,1269","0,0798","0,9207"
17216,"0,1296","0,0784","0,9224"
17127,"0,1252","0,0758","0,9216"
16830,"0,1177","0,072","0,917"
11125,"0,1172","0,0722","0,9249"
13583,"0,1174","0,0719","0,9115"
15736,"0,1205","0,0728","0,9039"
16988,"0,1206","0,0706","0,915"
