ME2;Share_Free_Shipping_SI;Share_Drop_Shipping_SI;Share_XDM_SI;Share_Fulfillment_SI;Share_Flex_SI;Share_Logistic_SI;Share_Logistic_SI_melinet;Shipments_Delivered_Same_Day;Shipments_Delivered_Next_Day;Shipments_Delivered 2_Days;Shipments_Delivered_menor2days;Unique_Receivers;Unique_Shippers;D1;D2;D3;D4;D5;D6;D7;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;Casos_confirmados_mms;Positividad_mms;Casos_activos;Casos_recuperados;fin_mes;feriado
60429;0,504;0,9277;0;0,0046;0,0677;0;0;0,0339;0,1737;0,3261;0,5336;34513;5655;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4698,1;0,2654;49806;141464;1;0
54005;0,4881;0,9419;0;0,0028;0,0553;0;0;0,1488;0,3352;0,2359;0,7199;31339;5425;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4923,1;0,2691;49245;146392;0;0
57155;0,4728;0,9327;0;0,0016;0,0658;0;0;0,4642;0,1771;0,1499;0,7911;33595;5576;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4812,4;0,2761;48167;151352;0;1
73074;0,514;0,9326;0;0,0021;0,0653;0;0;0,1316;0,1995;0,3157;0,6469;41443;6206;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4867,6;0,2633;48321;156506;0;0
67384;0,5019;0,926;0;0,0023;0,0717;0;0;0,0223;0,558;0,1892;0,7695;38816;5992;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4981,1;0,2572;47671;161272;0;0
67911;0,5029;0,921;0;0,0042;0,0748;0;0;0,0238;0,1205;0,6021;0,7464;38534;5986;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5114,3;0,2684;47774;165559;0;0
62646;0,5038;0,9164;0;0,0048;0,0787;0;0;0,026;0,1353;0,2522;0,4135;35612;5727;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5478,1;0,2717;44783;172486;0;0
57020;0,505;0,9347;0;0,0034;0,0619;0;0;0,0278;0,1487;0,2895;0,466;32335;5602;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5658,6;0,2956;44624;177182;0;0
51728;0,4909;0,9409;0;0,0054;0,0537;0;0;0,118;0,2705;0,2385;0,627;30206;5392;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5734,7;0,3021;44216;181718;0;0
57538;0,4705;0,932;0;0,0025;0,0655;0;0;0,2496;0,2287;0,1856;0,6639;32997;5572;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;5798,6;0,3082;43344;186204;0;0
74238;0,5069;0,9281;0;0,002;0,0699;0;0;0,1291;0,1618;0,2589;0,5497;42408;6190;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5955,7;0,3138;43092;191270;0;0
68832;0,5049;0,9237;0;0,0047;0,0716;0;0;0,0233;0,5313;0,1691;0,7237;39696;6125;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5815,7;0,3315;42821;195637;0;0
63656;0,4959;0,9168;0;0,0052;0,078;0;0;0,0246;0,1219;0,5685;0,715;36958;5914;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5655,6;0,3287;42709;199519;0;0
59299;0,5002;0,9055;0;0,0039;0,0906;0;0;0,0263;0,1262;0,2562;0,4087;33811;5742;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5589,3;0,3263;41250;204827;0;0
53786;0,4934;0,9194;0;0,0057;0,0749;0;0;0,029;0,1295;0,2681;0,4266;30598;5518;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5424,4;0,3189;41134;208943;0;0
48195;0,4677;0,9342;0;0,0081;0,0577;0;0;0,1252;0,2723;0,2135;0,611;28305;5372;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5234,3;0,311;40455;213333;0;0
49280;0,4643;0,9234;0;0,007;0,0697;0;0;0,4458;0,1406;0,1354;0,7219;29330;5364;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;5157,9;0,3017;39518;217269;0;0
71097;0,4933;0,9131;0;0,0083;0,0786;0;0;0,1298;0,1623;0,2651;0,5572;39362;6122;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4985,1;0,2979;38767;221806;0;0
66268;0,4957;0,9193;0;0,0066;0,0741;0;0;0,023;0,5189;0,1728;0,7148;37124;6073;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4826,9;0,2915;38037;225934;0;0
65921;0,4882;0,911;0;0,0086;0,0804;0;0;0,0245;0,1195;0,571;0,7151;37175;6109;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4851,6;0,2792;37609;229548;0;0
65260;0,4935;0,8965;0;0,0102;0,0933;0;0;0,0285;0,1414;0,2764;0,4463;37005;5988;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4566,7;0,2797;35880;234362;0;0
55800;0,4888;0,914;0;0,0075;0,0785;0;0;0,0326;0,1671;0,3132;0,5129;31746;5771;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4431,1;0,2691;34950;238458;0;0
56904;0,472;0,9301;0;0,0101;0,0598;0;0;0,1315;0,3263;0,204;0,6619;31956;5813;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4232,4;0,2661;33872;242228;0;0
60382;0,4599;0,9325;0;0,0091;0,0583;0;0;0,5117;0,1608;0,1243;0,7968;34436;5902;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4148;0,2591;32527;246077;0;0
65818;0,4704;0,919;0;0,0087;0,0723;0;0;0,3034;0,1997;0,1056;0,6086;37981;6251;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4089,4;0,2579;31166;250077;0;1
74249;0,4981;0,9119;0;0,0091;0,079;0;0;0,2098;0,1721;0,2532;0,6351;41531;6493;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3946,7;0,2515;30392;253788;1;0
76506;0,4906;0,9067;0;0,0091;0,0842;0;0;0,0226;0,6833;0,1358;0,8417;43325;6665;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3639,6;0,2465;30661;256787;1;0
74649;0,4804;0,9002;0;0,0107;0,0891;0;0;0,0248;0,1108;0,6955;0,8311;42792;6664;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3532,7;0,2414;29291;260573;1;0
67139;0,4989;0,9117;0;0,0137;0,0746;0;0;0,0293;0,1395;0,2786;0,4474;37912;6388;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3440,1;0,2403;28495;263971;1;0
61186;0,467;0,925;0;0,0158;0,0592;0;0;0,1225;0,3195;0,2342;0,6762;35199;6160;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3364,3;0,2363;27636;267157;1;0
68809;0,4544;0,9158;0;0,0141;0,0701;0;0;0,376;0,2588;0,1586;0,7933;39760;6564;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3222,6;0,2327;26765;270242;1;0
84058;0,4953;0,909;0;0,0148;0,0762;0;0;0,1392;0,1726;0,2865;0,5982;47544;7019;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3089,4;0,2249;26399;273408;0;0
78484;0,493183324;0,90135569;0;0,015124102;0,083520208;0;0;0,023931168;0,572147002;0,187340759;0,783418929;44410;6552;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3005,7;0,2178;26131;276100;0;0
80619;0,497277317;0,900618961;0;0,018506804;0,080874236;0;0;0,024625647;0,126939831;0,624680098;0,776245576;44995;6680;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3096,4;0,2095;25861;278604;0;0
73047;0,492313168;0,895683601;0;0,014511205;0,089805194;0;0;0,026259904;0,156563512;0,286867119;0,469690534;40912;6479;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3026,4;0,2031;25458;281243;0;0
66816;0,495150862;0,9088392;0;0,015714799;0,075446001;0;0;0,030846627;0,163086649;0,333669822;0,527603098;37391;6281;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2883,1;0,1952;25010;284180;0;0
58701;0,468152161;0,916713514;0;0,018619785;0,064666701;0;0;0,148815675;0,341201273;0,255342896;0,745359845;33441;6006;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2787;0,1857;23732;287448;0;0
64654;0,46707087;0,90110434;0;0,018560337;0,080335323;0;0;0,46331058;0,163822526;0,152730375;0,779863481;36930;6118;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2728,6;0,1789;23217;289864;0;0
